run_index,adm/compress/center_calc_total_ms,adm/compress/center_calc_count,adm/compress/center_calc_avg_ms,adm/compress/encode_total_ms,adm/compress/encode_count,adm/compress/encode_avg_ms,adm/compress/fill_tail_total_ms,adm/compress/fill_tail_count,adm/compress/fill_tail_avg_ms,adm/compress/prefix_sum_total_ms,adm/compress/prefix_sum_count,adm/compress/prefix_sum_avg_ms,adm/compress/warp_reduce_total_ms,adm/compress/warp_reduce_count,adm/compress/warp_reduce_avg_ms,adm/compress/write_back_total_ms,adm/compress/write_back_count,adm/compress/write_back_avg_ms,adm/decompress/decode_values_total_ms,adm/decompress/decode_values_count,adm/decompress/decode_values_avg_ms,adm/decompress/restore_signals_total_ms,adm/decompress/restore_signals_count,adm/decompress/restore_signals_avg_ms,adm_alloc_scratch_total_ms,adm_alloc_scratch_count,adm_alloc_scratch_avg_ms,adm_compress_total_ms,adm_compress_count,adm_compress_avg_ms,adm_decompress_total_ms,adm_decompress_count,adm_decompress_avg_ms,alloc_fse_decomp_buf_total_ms,alloc_fse_decomp_buf_count,alloc_fse_decomp_buf_avg_ms,fse_compress_total_ms,fse_compress_count,fse_compress_avg_ms,fse_decompress_total_ms,fse_decompress_count,fse_decompress_avg_ms,mans/adm_decode_core_total_ms,mans/adm_decode_core_count,mans/adm_decode_core_avg_ms,mans/adm_encode_core_total_ms,mans/adm_encode_core_count,mans/adm_encode_core_avg_ms,mans/entropy_decode_core_total_ms,mans/entropy_decode_core_count,mans/entropy_decode_core_avg_ms,mans/entropy_encode_core_total_ms,mans/entropy_encode_core_count,mans/entropy_encode_core_avg_ms
1,1.182592,1,1.182592,0.551539,1,0.551539,0.014580,1,0.014580,0.000253,1,0.000253,0.012395,1,0.012395,0.050340,1,0.050340,0.249626,1,0.249626,0.371509,1,0.371509,0.003750,1,0.003750,1.844830,1,1.844830,0.632590,1,0.632590,0.005184,1,0.005184,1.787725,1,1.787725,2.026347,1,2.026347,0.631971,1,0.631971,1.826607,1,1.826607,2.025538,1,2.025538,1.756504,1,1.756504
2,0.029485,1,0.029485,0.459835,1,0.459835,0.012541,1,0.012541,0.000315,1,0.000315,0.009383,1,0.009383,0.012029,1,0.012029,0.241382,1,0.241382,0.094480,1,0.094480,0.000174,1,0.000174,0.535210,1,0.535210,0.339086,1,0.339086,0.000354,1,0.000354,1.650743,1,1.650743,1.797256,1,1.797256,0.338838,1,0.338838,0.528778,1,0.528778,1.796684,1,1.796684,1.632812,1,1.632812
3,0.028277,1,0.028277,0.451191,1,0.451191,0.012253,1,0.012253,0.000158,1,0.000158,0.010069,1,0.010069,0.011443,1,0.011443,0.241584,1,0.241584,0.094341,1,0.094341,0.000174,1,0.000174,0.527527,1,0.527527,0.339363,1,0.339363,0.000344,1,0.000344,1.697765,1,1.697765,1.789222,1,1.789222,0.339132,1,0.339132,0.522127,1,0.522127,1.788615,1,1.788615,1.681635,1,1.681635
4,0.028870,1,0.028870,0.443118,1,0.443118,0.012176,1,0.012176,0.000303,1,0.000303,0.009724,1,0.009724,0.013153,1,0.013153,0.229480,1,0.229480,0.094084,1,0.094084,0.000167,1,0.000167,0.517718,1,0.517718,0.329755,1,0.329755,0.000367,1,0.000367,1.639848,1,1.639848,1.792226,1,1.792226,0.329536,1,0.329536,0.512255,1,0.512255,1.791758,1,1.791758,1.624191,1,1.624191
5,0.026798,1,0.026798,0.438861,1,0.438861,0.012648,1,0.012648,0.000287,1,0.000287,0.008928,1,0.008928,0.010640,1,0.010640,0.231232,1,0.231232,0.093200,1,0.093200,0.000111,1,0.000111,0.507384,1,0.507384,0.326902,1,0.326902,0.000305,1,0.000305,1.637731,1,1.637731,1.773596,1,1.773596,0.326689,1,0.326689,0.502547,1,0.502547,1.773114,1,1.773114,1.622257,1,1.622257
6,0.025682,1,0.025682,0.443407,1,0.443407,0.011110,1,0.011110,0.000305,1,0.000305,0.009187,1,0.009187,0.011164,1,0.011164,0.235303,1,0.235303,0.097104,1,0.097104,0.000082,1,0.000082,0.517393,1,0.517393,0.336385,1,0.336385,0.000184,1,0.000184,1.644558,1,1.644558,1.770275,1,1.770275,0.336084,1,0.336084,0.505110,1,0.505110,1.769813,1,1.769813,1.630222,1,1.630222
7,0.024632,1,0.024632,0.427271,1,0.427271,0.011592,1,0.011592,0.000129,1,0.000129,0.008214,1,0.008214,0.010933,1,0.010933,0.276226,1,0.276226,0.109847,1,0.109847,0.000102,1,0.000102,0.491584,1,0.491584,0.389069,1,0.389069,0.000279,1,0.000279,1.639027,1,1.639027,1.798511,1,1.798511,0.388835,1,0.388835,0.487167,1,0.487167,1.798093,1,1.798093,1.625027,1,1.625027
8,0.030559,1,0.030559,0.450230,1,0.450230,0.012373,1,0.012373,0.000280,1,0.000280,0.007818,1,0.007818,0.011057,1,0.011057,0.246951,1,0.246951,0.099480,1,0.099480,0.000117,1,0.000117,0.520907,1,0.520907,0.349681,1,0.349681,0.000322,1,0.000322,1.626095,1,1.626095,1.801254,1,1.801254,0.349405,1,0.349405,0.516617,1,0.516617,1.800655,1,1.800655,1.612381,1,1.612381
9,0.024708,1,0.024708,0.444497,1,0.444497,0.010331,1,0.010331,0.000275,1,0.000275,0.009357,1,0.009357,0.011481,1,0.011481,0.231586,1,0.231586,0.093161,1,0.093161,0.000110,1,0.000110,0.511929,1,0.511929,0.327540,1,0.327540,0.000248,1,0.000248,1.628061,1,1.628061,1.771829,1,1.771829,0.327300,1,0.327300,0.507976,1,0.507976,1.771321,1,1.771321,1.614029,1,1.614029
10,0.025723,1,0.025723,0.451820,1,0.451820,0.011306,1,0.011306,0.000210,1,0.000210,0.007569,1,0.007569,0.009535,1,0.009535,0.228706,1,0.228706,0.093620,1,0.093620,0.000080,1,0.000080,0.514214,1,0.514214,0.327617,1,0.327617,0.000178,1,0.000178,1.621854,1,1.621854,1.794330,1,1.794330,0.327372,1,0.327372,0.510012,1,0.510012,1.793820,1,1.793820,1.608181,1,1.608181
