dataset_folder,dataset_name,file_size_bytes,algo,input_type,ratio,comp_mbps,decomp_mbps,error
3d-pcg-gb,pcg-gb_127x127x127_4096kB.u2,4096766,mans+_p,-u2,2.86,2113.1,1993.0,
3d-pcg-gb,pcg-gb_15x15x15_8kB.u2,6750,mans+_p,-u2,2.40,80.4,10.1,
3d-pcg-gb,pcg-gb_203x203x203_16384kB.u2,16730854,mans+_p,-u2,2.66,2481.0,2468.4,
3d-pcg-gb,pcg-gb_20x20x20_16kB.u2,16000,mans+_p,-u2,2.72,162.9,22.8,
3d-pcg-gb,pcg-gb_31x31x31_64kB.u2,59582,mans+_p,-u2,2.96,354.6,82.2,
3d-pcg-gb,pcg-gb_322x322x322_65536kB.u2,66772496,mans+_p,-u2,1.95,2431.3,2613.7,
3d-pcg-gb,pcg-gb_50x50x50_256kB.u2,250000,mans+_p,-u2,2.96,662.0,294.5,
3d-pcg-gb,pcg-gb_511x511x511_262144kB.u2,266865662,mans+_p,-u2,1.90,2617.3,2923.9,
3d-pcg-gb,pcg-gb_80x80x80_1024kB.u2,1024000,mans+_p,-u2,2.96,1480.0,987.0,
3d-sfc-gi,2-sfc-1_127x127x127_4096kB.u2,4096766,mans+_p,-u2,3.34,2196.3,2131.5,
3d-sfc-gi,2-sfc-1_15x15x15_8kB.u2,6750,mans+_p,-u2,3.09,80.9,10.1,
3d-sfc-gi,2-sfc-1_203x203x203_16384kB.u2,16730854,mans+_p,-u2,2.94,2654.7,2625.7,
3d-sfc-gi,2-sfc-1_20x20x20_16kB.u2,16000,mans+_p,-u2,3.63,160.2,21.8,
3d-sfc-gi,2-sfc-1_31x31x31_64kB.u2,59582,mans+_p,-u2,4.15,399.6,84.7,
3d-sfc-gi,2-sfc-1_322x322x322_65536kB.u2,66772496,mans+_p,-u2,2.70,2679.5,2768.7,
3d-sfc-gi,2-sfc-1_50x50x50_256kB.u2,250000,mans+_p,-u2,4.20,662.6,296.2,
3d-sfc-gi,2-sfc-1_511x511x511_262144kB.u2,266865662,mans+_p,-u2,2.41,2813.3,2947.1,
3d-sfc-gi,2-sfc-1_758x842x841_1048576kB.u2,1073512952,mans+_p,-u2,2.12,2861.4,3148.7,
3d-sfc-gi,2-sfc-1_80x80x80_1024kB.u2,1024000,mans+_p,-u2,4.39,1622.9,1014.0,
3d-sfc-l,sfc-l_127x127x127_4096kB.u2,4096766,mans+_p,-u2,2.45,2306.7,2179.1,
3d-sfc-l,sfc-l_14958x185x194_1048576kB.u2,1073685240,mans+_p,-u2,2.29,2661.8,3037.8,
3d-sfc-l,sfc-l_15x15x15_8kB.u2,6750,mans+_p,-u2,2.94,78.9,10.3,
