dataset_folder,dataset_name,file_size_bytes,algo,input_type,ratio,comp_mbps,decomp_mbps,error
3d-pcg-gb,pcg-gb_127x127x127_4096kB.u2,4096766,mans+_r,-u2,3.57,518.4,483.6,
3d-pcg-gb,pcg-gb_15x15x15_8kB.u2,6750,mans+_r,-u2,2.96,104.1,194.2,
3d-pcg-gb,pcg-gb_203x203x203_16384kB.u2,16730854,mans+_r,-u2,3.25,529.8,486.2,
3d-pcg-gb,pcg-gb_20x20x20_16kB.u2,16000,mans+_r,-u2,3.11,174.7,272.7,
3d-pcg-gb,pcg-gb_31x31x31_64kB.u2,59582,mans+_r,-u2,3.30,344.5,453.2,
3d-pcg-gb,pcg-gb_322x322x322_65536kB.u2,66772496,mans+_r,-u2,2.25,469.3,440.3,
3d-pcg-gb,pcg-gb_50x50x50_256kB.u2,250000,mans+_r,-u2,3.53,415.2,418.3,
3d-pcg-gb,pcg-gb_511x511x511_262144kB.u2,266865662,mans+_r,-u2,2.21,471.4,442.3,
3d-pcg-gb,pcg-gb_80x80x80_1024kB.u2,1024000,mans+_r,-u2,3.62,486.8,485.9,
3d-sfc-gi,2-sfc-1_127x127x127_4096kB.u2,4096766,mans+_r,-u2,4.53,532.5,496.9,
3d-sfc-gi,2-sfc-1_15x15x15_8kB.u2,6750,mans+_r,-u2,4.25,106.9,196.2,
3d-sfc-gi,2-sfc-1_203x203x203_16384kB.u2,16730854,mans+_r,-u2,3.95,554.5,509.7,
3d-sfc-gi,2-sfc-1_20x20x20_16kB.u2,16000,mans+_r,-u2,4.43,181.4,280.0,
3d-sfc-gi,2-sfc-1_31x31x31_64kB.u2,59582,mans+_r,-u2,4.77,344.7,449.9,
3d-sfc-gi,2-sfc-1_322x322x322_65536kB.u2,66772496,mans+_r,-u2,3.63,542.0,508.4,
3d-sfc-gi,2-sfc-1_50x50x50_256kB.u2,250000,mans+_r,-u2,5.32,450.3,453.6,
3d-sfc-gi,2-sfc-1_511x511x511_262144kB.u2,266865662,mans+_r,-u2,3.19,546.9,504.2,
3d-sfc-gi,2-sfc-1_758x842x841_1048576kB.u2,1073512952,mans+_r,-u2,2.64,512.4,481.1,
3d-sfc-gi,2-sfc-1_80x80x80_1024kB.u2,1024000,mans+_r,-u2,5.61,535.8,544.0,
3d-sfc-l,sfc-l_127x127x127_4096kB.u2,4096766,mans+_r,-u2,3.37,477.9,453.5,
3d-sfc-l,sfc-l_14958x185x194_1048576kB.u2,1073685240,mans+_r,-u2,3.02,458.8,419.1,
3d-sfc-l,sfc-l_15x15x15_8kB.u2,6750,mans+_r,-u2,3.89,103.0,201.5,
3d-sfc-l,sfc-l_20x20x20_16kB.u2,16000,mans+_r,-u2,4.10,178.2,286.2,
3d-sfc-l,sfc-l_233x185x194_16384kB.u2,16724740,mans+_r,-u2,3.20,471.1,448.1,
3d-sfc-l,sfc-l_31x31x31_64kB.u2,59582,mans+_r,-u2,4.53,348.7,457.0,
3d-sfc-l,sfc-l_3739x185x194_262144kB.u2,268385420,mans+_r,-u2,2.87,451.6,428.4,
3d-sfc-l,sfc-l_50x50x50_256kB.u2,250000,mans+_r,-u2,4.03,367.5,404.2,
3d-sfc-l,sfc-l_80x80x80_1024kB.u2,1024000,mans+_r,-u2,4.02,469.4,474.2,
3d-sfc-l,sfc-l_934x185x194_65536kB.u2,67042520,mans+_r,-u2,3.08,459.1,444.6,
3d-spdi-m,spdi-m_127x127x127_4096kB.u2,4096766,mans+_r,-u2,7.61,540.4,454.5,
3d-spdi-m,spdi-m_15x15x15_8kB.u2,6750,mans+_r,-u2,5.92,111.2,197.8,
3d-spdi-m,spdi-m_203x203x203_16384kB.u2,16730854,mans+_r,-u2,7.79,555.0,473.2,
3d-spdi-m,spdi-m_20x20x20_16kB.u2,16000,mans+_r,-u2,6.28,186.1,265.5,
3d-spdi-m,spdi-m_31x31x31_64kB.u2,59582,mans+_r,-u2,6.75,349.4,415.1,
3d-spdi-m,spdi-m_322x322x322_65536kB.u2,66772496,mans+_r,-u2,7.46,582.5,503.2,
3d-spdi-m,spdi-m_50x50x50_256kB.u2,250000,mans+_r,-u2,7.01,480.5,427.8,
3d-spdi-m,spdi-m_511x511x511_262144kB.u2,266865662,mans+_r,-u2,7.13,577.9,518.5,
3d-spdi-m,spdi-m_80x80x80_1024kB.u2,1024000,mans+_r,-u2,7.58,560.9,500.1,
exafel,exafel_59200x388_1024kB.u2,1048576,mans+_r,-u2,1.92,548.1,550.1,
exafel,exafel_59200x388_16384kB.u2,16777216,mans+_r,-u2,1.94,540.5,517.5,
exafel,exafel_59200x388_16kB.u2,16384,mans+_r,-u2,1.66,183.5,298.8,
exafel,exafel_59200x388_256kB.u2,262144,mans+_r,-u2,1.98,492.6,494.1,
exafel,exafel_59200x388_4096kB.u2,4194304,mans+_r,-u2,1.93,527.1,505.7,
exafel,exafel_59200x388_4kB.u2,4096,mans+_r,-u2,1.61,66.9,143.9,
exafel,exafel_59200x388_64kB.u2,65536,mans+_r,-u2,1.92,380.6,445.8,
haac,vx_1073726487_1024kB.u2,1048576,mans+_r,-u2,8.62,583.7,548.1,
haac,vx_1073726487_1048576kB.u2,1073741824,mans+_r,-u2,8.15,622.9,586.0,
haac,vx_1073726487_16384kB.u2,16777216,mans+_r,-u2,8.00,632.1,605.0,
haac,vx_1073726487_16kB.u2,16384,mans+_r,-u2,5.32,204.4,318.7,
haac,vx_1073726487_256kB.u2,262144,mans+_r,-u2,8.23,511.7,495.8,
haac,vx_1073726487_262144kB.u2,268435456,mans+_r,-u2,8.48,622.4,590.6,
haac,vx_1073726487_4096kB.u2,4194304,mans+_r,-u2,7.81,617.6,587.0,
haac,vx_1073726487_4kB.u2,4096,mans+_r,-u2,4.84,61.6,148.7,
haac,vx_1073726487_64kB.u2,65536,mans+_r,-u2,5.89,396.3,473.4,
haac,vx_1073726487_65536kB.u2,67108864,mans+_r,-u2,8.25,626.8,589.9,
haac,vy_1073726487_1024kB.u2,1048576,mans+_r,-u2,8.40,580.3,554.3,
haac,vy_1073726487_1048576kB.u2,1073741824,mans+_r,-u2,8.16,618.9,593.5,
haac,vy_1073726487_16384kB.u2,16777216,mans+_r,-u2,7.75,635.1,610.7,
haac,vy_1073726487_16kB.u2,16384,mans+_r,-u2,5.18,201.4,320.3,
